org,ts,esn,gpn,ufs,changeover,first,result,prep_plus_main (min)
G1,2024-05-20 18:51:18,3472460195,010-02976-62,Micron Dorado-A 256GB,0,1,1,49.17
G1,2024-05-20 18:51:36,3472460560,010-02976-62,Micron Dorado-A 256GB,0,1,1,40.79
G1,2024-05-20 18:53:26,3472459632,010-02976-64,Micron Dorado-A 256GB,0,1,1,45.09
G1,2024-05-20 18:54:06,3472460642,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.76
G1,2024-05-20 18:54:41,3472460656,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.08
G1,2024-05-20 18:56:30,3472459355,010-02976-64,Micron Dorado-A 256GB,0,1,1,39.31
G1,2024-05-20 18:56:53,3472460556,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.52
G1,2024-05-20 18:57:01,3472456787,010-02976-64,Micron Dorado-A 256GB,0,1,1,39.32
G1,2024-05-20 18:57:11,3472460563,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.12
G1,2024-05-20 18:59:32,3472460650,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.98
G1,2024-05-20 19:00:27,3467427005,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.25
G1,2024-05-20 19:01:38,3472459637,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.18
G1,2024-05-20 19:02:11,3472459638,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.63
G1,2024-05-20 19:02:54,3472459547,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.19
G1,2024-05-20 19:03:14,3472459546,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.2
G1,2024-05-20 19:03:34,3472459540,010-02976-64,Micron Dorado-A 256GB,0,1,1,38.75
G1,2024-05-20 19:03:53,3472459641,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.88
G1,2024-05-20 19:04:04,3472460559,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.85
G1,2024-05-20 19:04:05,3472459532,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.77
G1,2024-05-20 19:04:05,3472459612,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.68
G1,2024-05-20 19:04:35,3472460654,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.89
G1,2024-05-20 19:04:59,3472460658,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.87
G1,2024-05-20 19:05:05,3472460591,010-02976-62,Micron Dorado-A 256GB,0,1,1,39.25
G1,2024-05-20 19:05:39,3472459658,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.52
G1,2024-05-20 19:05:43,3472460651,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.89
G1,2024-05-20 19:05:59,3472460590,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.6
G1,2024-05-20 19:06:08,3472459537,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.33
G1,2024-05-20 19:07:02,3472460203,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.57
G1,2024-05-20 19:07:20,3472459589,010-02976-64,Micron Dorado-A 256GB,0,1,1,38.9
G1,2024-05-20 19:07:20,3472460587,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.19
G1,2024-05-20 19:08:56,3472460580,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.5
G1,2024-05-20 19:09:12,3472459533,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.26
G1,2024-05-20 19:09:31,3472459531,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.9
G1,2024-05-20 19:10:01,3472460653,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.44
G1,2024-05-20 19:10:09,3472459542,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.35
G1,2024-05-20 19:12:18,3472460596,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.62
G1,2024-05-20 19:13:10,3472460583,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.37
G1,2024-05-20 19:14:12,3472460593,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.86
G1,2024-05-20 19:14:24,3472460588,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.98
G1,2024-05-20 19:14:29,3472460558,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.32
G1,2024-05-20 19:14:42,3472459591,010-02976-64,Micron Dorado-A 256GB,0,1,1,45.19
G1,2024-05-20 19:14:49,3472459506,010-02976-64,Micron Dorado-A 256GB,0,1,1,39.4
G1,2024-05-20 19:17:13,3472460623,010-02976-62,Micron Dorado-A 256GB,0,1,1,40.36
G1,2024-05-20 19:17:26,3472460652,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.66
G1,2024-05-20 19:17:43,3472460638,010-02976-62,Micron Dorado-A 256GB,0,1,1,40.62
G1,2024-05-20 19:18:15,3472460581,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.73
G1,2024-05-20 19:18:30,3472460594,010-02976-62,Micron Dorado-A 256GB,0,1,1,40.48
G1,2024-05-20 19:19:14,3472459573,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.38
G1,2024-05-20 19:19:18,3472459592,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.51
G1,2024-05-20 19:19:30,3472459574,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.05
G1,2024-05-20 19:19:32,3472459597,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.51
G1,2024-05-20 19:19:59,3472459585,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.46
G1,2024-05-20 19:20:25,3472460576,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.73
G1,2024-05-20 19:21:02,3472460633,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.16
G1,2024-05-20 19:22:51,3472459661,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.34
G1,2024-05-20 19:23:03,3472459584,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.56
G1,2024-05-20 19:23:15,3472460589,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.3
G1,2024-05-20 19:23:25,3472459636,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.8
G1,2024-05-20 19:24:35,3472460636,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.81
G1,2024-05-20 19:25:03,3472459565,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.65
G1,2024-05-20 19:26:24,3472459727,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.76
G1,2024-05-20 19:27:08,3472460635,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.97
G1,2024-05-20 19:29:00,3472460645,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.16
G1,2024-05-20 19:29:48,3472459662,010-02976-64,Micron Dorado-A 256GB,0,1,1,45
G1,2024-05-20 19:30:04,3472460639,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.63
G1,2024-05-20 19:30:34,3472460641,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.13
G1,2024-05-20 19:30:49,3472459561,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.57
G1,2024-05-20 19:31:39,3472459730,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.44
G1,2024-05-20 19:32:30,3472459560,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.98
G1,2024-05-20 19:32:34,3472459716,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.18
G1,2024-05-20 19:33:05,3472460584,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.23
G1,2024-05-20 19:33:20,3472460601,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.15
G1,2024-05-20 19:36:07,3472459723,010-02976-64,Micron Dorado-A 256GB,0,1,1,39.04
G1,2024-05-20 19:36:07,3472459714,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.24
G1,2024-05-20 19:36:32,3472461137,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.13
G1,2024-05-20 19:38:19,3472460586,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.8
G1,2024-05-20 19:38:36,3472460569,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.56
G1,2024-05-20 19:39:05,3472459550,010-02976-64,Micron Dorado-A 256GB,0,1,1,39.56
G1,2024-05-20 19:39:26,3472460582,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.15
G1,2024-05-20 19:39:49,3472459551,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.95
G1,2024-05-20 19:39:57,3472460592,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.35
G1,2024-05-20 19:39:59,3472459729,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.4
G1,2024-05-20 19:40:55,3472459553,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.13
G1,2024-05-20 19:41:35,3472459458,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.78
G1,2024-05-20 19:43:36,3472460568,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.4
